50;320;0.07399797439575195
100;800;0.5628017902374267
150;1200;1.9658169746398926
200;2240;4.749992799758911
250;2400;9.009094285964967
300;2400;14.752521133422851
350;2800;23.88673095703125
400;3200;35.051234292984006
450;3600;50.814873456954956
500;5600;71.76824660301209
550;6160;92.83796644210815
600;6720;121.00705237388611
650;6240;153.79227714538575
700;6720;189.55492386817932
750;6000;235.0470742702484
800;6400;286.28689455986023
850;10880;343.51690926551817
900;14400;411.9209141254425
