50;320;0.058750247955322264
100;800;0.4861570358276367
150;1200;1.7200780391693116
200;2240;4.897272109985352
250;2400;8.750212049484253
300;2400;13.107485628128051
350;2800;22.369028425216676
400;3200;31.47884554862976
450;3600;45.59827280044556
500;5600;73.2551459312439
550;6160;99.01844549179077
600;6720;127.16715121269226
650;6240;147.6567301750183
700;6720;182.3976839065552
750;6000;204.9483923435211
800;6400;252.56679091453552
850;10880;394.23815550804136
900;14400;538.2634024620056
